verb,agency,power
chant,agency_pos,power_theme
implore,agency_pos,power_theme
lack,agency_neg,power_theme
massage,agency_pos,power_theme
regard,agency_neg,power_theme
repeat,agency_pos,power_theme
seek,agency_pos,power_theme
shower,agency_pos,power_theme
smell,agency_neg,power_theme
tail,agency_pos,power_theme
unload,agency_pos,power_theme
weather,agency_pos,power_theme
believe,agency_neg,power_theme
compensate,agency_pos,power_theme
compile,agency_pos,power_theme
detect,agency_pos,power_theme
honor,agency_pos,power_theme
incorporate,agency_pos,power_theme
indulge,agency_equal,power_theme
like,agency_equal,power_theme
mingle,agency_pos,power_theme
adore,agency_equal,power_theme
applaud,agency_pos,power_theme
donate,agency_pos,power_theme
entertain,agency_pos,power_theme
evade,agency_pos,power_theme
grieve,agency_neg,power_theme
join,agency_pos,power_theme
mention,agency_equal,power_theme
oblige,agency_equal,power_theme
represent,agency_pos,power_theme
congratulate,agency_equal,power_theme
fulfill,agency_pos,power_theme
obey,agency_neg,power_theme
quote,agency_equal,power_theme
satisfy,agency_pos,power_theme
serve,agency_equal,power_theme
wonder,agency_neg,power_theme
credit,agency_pos,power_theme
defer,agency_equal,power_theme
echo,,power_theme
emit,agency_pos,power_theme
seat,agency_pos,power_theme
cites,agency_pos,power_theme
disappoint,agency_pos,power_theme
experience,agency_neg,power_theme
value,agency_neg,power_theme
wish,agency_neg,power_theme
consult,agency_pos,power_theme
dream,agency_neg,power_theme
endure,agency_neg,power_theme
enforce,agency_pos,power_theme
enjoy,agency_neg,power_theme
learn,agency_equal,power_theme
offend,agency_pos,power_theme
pursue,agency_pos,power_theme
admire,agency_equal,power_theme
answer,agency_equal,power_theme
commemorates,agency_pos,power_theme
contract,agency_pos,power_theme
duck,agency_pos,power_theme
practice,agency_pos,power_theme
regret,agency_neg,power_theme
resent,agency_neg,power_theme
shadow,agency_equal,power_theme
undertake,agency_pos,power_theme
achieve,agency_pos,power_theme
cheer,agency_pos,power_theme
depart,agency_pos,power_theme
need,agency_neg,power_theme
pray,agency_equal,power_theme
promote,agency_pos,power_theme
visit,agency_pos,power_theme
beg,agency_pos,power_theme
copy,agency_pos,power_theme
plead,agency_pos,power_theme
tip,agency_pos,power_theme
uphold,agency_pos,power_theme
benefit,agency_neg,power_theme
celebrate,agency_pos,power_theme
constitute,agency_neg,power_theme
greet,agency_equal,power_theme
hope,agency_equal,power_theme
interest,agency_neg,power_theme
lose,agency_equal,power_theme
mind,agency_equal,power_theme
portray,agency_pos,power_theme
predict,agency_equal,power_theme
undergo,,power_theme
vote,agency_pos,power_theme
want,agency_neg,power_theme
admit,agency_pos,power_theme
announce,agency_pos,power_theme
appeal,agency_neg,power_theme
ask,agency_pos,power_theme
attend,agency_equal,power_theme
await,agency_neg,power_theme
become,agency_pos,power_theme
call,agency_pos,power_theme
concede,agency_pos,power_theme
contribute,agency_pos,power_theme
explain,agency_pos,power_theme
fan,agency_pos,power_theme
fear,agency_neg,power_theme
guard,agency_pos,power_theme
hear,agency_neg,power_theme
listen,agency_pos,power_theme
note,agency_equal,power_theme
owe,agency_neg,power_theme
prefer,agency_neg,power_theme
receive,agency_neg,power_theme
recognize,agency_equal,power_theme
respond,agency_pos,power_theme
suffer,agency_neg,power_theme
thank,agency_pos,power_theme
trace,agency_pos,power_theme
trust,agency_neg,power_theme
witness,agency_neg,power_theme
